,dropoff_site,load_time,load_type,load_weight,dropoff_site_new,load_type_new
487012,TDS LANDFILL,2017-01-02 00:00:00,BULK,12100,1,5
427949,TDS - MRF,2017-01-02 00:00:00,RECYCLING - SINGLE STREAM,13560,4,2
191803,TDS LANDFILL,2017-01-02 00:00:00,BULK,9240,1,5
320504,TDS LANDFILL,2017-01-02 00:00:00,DEAD ANIMAL,320,1,7
451456,HORNSBY BEND,2017-01-02 00:00:00,YARD TRIMMING,15900,3,3
363027,TDS LANDFILL,2017-01-02 00:00:00,BULK,11740,1,5
15745,HORNSBY BEND,2017-01-02 00:00:00,YARD TRIMMING,1700,3,3
113371,TDS LANDFILL,2017-01-02 00:00:00,BULK,6040,1,5
355976,TDS - MRF,2017-01-02 00:00:00,RECYCLING - SINGLE STREAM,20080,4,2
22318,TDS - MRF,2017-01-02 00:00:00,RECYCLING - SINGLE STREAM,19920,4,2
413643,HORNSBY BEND,2017-01-02 00:00:00,YARD TRIMMING,4620,3,3
91000,TDS LANDFILL,2017-01-02 00:00:00,LITTER,2980,1,7
129918,TDS - MRF,2017-01-02 00:00:00,RECYCLING - SINGLE STREAM,2800,4,2
407796,TDS LANDFILL,2017-01-02 00:00:00,BULK,8140,1,5
430723,TDS - MRF,2017-01-02 00:00:00,RECYCLING - SINGLE STREAM,12280,4,2
264732,MRF,2017-01-02 00:00:00,TIRES,4940,9,7
300249,TDS LANDFILL,2017-01-02 00:00:00,DEAD ANIMAL,180,1,7
40765,TDS - MRF,2017-01-02 00:00:00,RECYCLING - SINGLE STREAM,21380,4,2
86909,TDS LANDFILL,2017-01-02 00:00:00,BULK,8920,1,5
368997,TDS LANDFILL,2017-01-02 00:00:00,BULK,5000,1,5
149442,TDS LANDFILL,2017-01-02 00:00:00,BULK,6900,1,5
105363,TDS LANDFILL,2017-01-02 00:00:00,BULK,6980,1,5
563273,TDS LANDFILL,2017-01-02 02:46:00,GARBAGE COLLECTIONS,20620,1,1
163091,TDS LANDFILL,2017-01-02 02:53:00,GARBAGE COLLECTIONS,23640,1,1
355811,TDS LANDFILL,2017-01-02 02:54:00,GARBAGE COLLECTIONS,23540,1,1
375267,TDS LANDFILL,2017-01-02 03:36:00,GARBAGE COLLECTIONS,7220,1,1
93726,TDS LANDFILL,2017-01-02 03:49:00,GARBAGE COLLECTIONS,17740,1,1
176325,TDS LANDFILL,2017-01-02 04:10:00,GARBAGE COLLECTIONS,20240,1,1
252088,TDS - MRF,2017-01-02 09:08:00,RECYCLING - SINGLE STREAM,12920,4,2
490516,HORNSBY BEND,2017-01-02 09:21:00,YARD TRIMMING,19660,3,3
272291,TDS LANDFILL,2017-01-02 09:25:00,GARBAGE COLLECTIONS,16440,1,1
503234,TDS - MRF,2017-01-02 09:31:00,RECYCLING - SINGLE STREAM,420,4,2
155194,TDS - MRF,2017-01-02 09:36:00,RECYCLING - SINGLE STREAM,12840,4,2
449003,TDS - MRF,2017-01-02 09:43:00,RECYCLING - SINGLE STREAM,13240,4,2
182493,TDS - MRF,2017-01-02 09:44:00,RECYCLING - SINGLE STREAM,11680,4,2
44913,TDS LANDFILL,2017-01-02 09:53:00,GARBAGE COLLECTIONS,23420,1,1
320235,TDS LANDFILL,2017-01-02 09:55:00,GARBAGE COLLECTIONS,19140,1,1
12966,TDS LANDFILL,2017-01-02 09:59:00,GARBAGE COLLECTIONS,18580,1,1
316946,TDS - MRF,2017-01-02 10:05:00,RECYCLING - SINGLE STREAM,11440,4,2
119926,HORNSBY BEND,2017-01-02 10:07:00,YARD TRIMMING,16660,3,3
273580,TDS - MRF,2017-01-02 10:12:00,RECYCLING - SINGLE STREAM,11660,4,2
413623,TDS LANDFILL,2017-01-02 10:17:00,GARBAGE COLLECTIONS,20340,1,1
511896,TDS - MRF,2017-01-02 10:17:00,RECYCLING - SINGLE STREAM,14800,4,2
137307,TDS - MRF,2017-01-02 10:18:00,RECYCLING - SINGLE STREAM,12520,4,2
307770,TDS - MRF,2017-01-02 10:19:00,RECYCLING - SINGLE STREAM,14540,4,2
232015,TDS LANDFILL,2017-01-02 10:20:00,GARBAGE COLLECTIONS,22020,1,1
322501,HORNSBY BEND,2017-01-02 10:28:00,YARD TRIMMING,15400,3,3
433400,TDS - MRF,2017-01-02 10:28:00,RECYCLING - SINGLE STREAM,11940,4,2
277937,HORNSBY BEND,2017-01-02 10:37:00,YARD TRIMMING,15680,3,3
544907,TDS - MRF,2017-01-02 10:41:00,RECYCLING - SINGLE STREAM,12680,4,2
172298,TDS LANDFILL,2017-01-02 10:42:00,GARBAGE COLLECTIONS,21320,1,1
500921,TDS LANDFILL,2017-01-02 10:45:00,GARBAGE COLLECTIONS,9420,1,1
10610,TDS - MRF,2017-01-02 10:45:00,RECYCLING - SINGLE STREAM,14500,4,2
19069,TDS - MRF,2017-01-02 10:45:00,RECYCLING - SINGLE STREAM,12000,4,2
184969,TDS - MRF,2017-01-02 10:47:00,RECYCLING - SINGLE STREAM,12960,4,2
86650,HORNSBY BEND,2017-01-02 10:52:00,YARD TRIMMING,17840,3,3
245893,TDS LANDFILL,2017-01-02 10:54:00,GARBAGE COLLECTIONS,4520,1,1
133390,TDS LANDFILL,2017-01-02 10:55:00,GARBAGE COLLECTIONS,19240,1,1
406899,TDS LANDFILL,2017-01-02 10:55:00,GARBAGE COLLECTIONS,19240,1,1
469379,TDS - MRF,2017-01-02 10:55:00,RECYCLING - SINGLE STREAM,11360,4,2
355849,TDS LANDFILL,2017-01-02 10:58:00,GARBAGE COLLECTIONS,23340,1,1
222202,TDS LANDFILL,2017-01-02 11:01:00,GARBAGE COLLECTIONS,16260,1,1
4677,HORNSBY BEND,2017-01-02 11:14:00,YARD TRIMMING,11060,3,3
341584,HORNSBY BEND,2017-01-02 11:15:00,YARD TRIMMING,18620,3,3
487845,TDS LANDFILL,2017-01-02 11:16:00,GARBAGE COLLECTIONS,22840,1,1
82601,TDS LANDFILL,2017-01-02 11:16:00,GARBAGE COLLECTIONS,18840,1,1
314912,TDS - MRF,2017-01-02 11:18:00,RECYCLING - SINGLE STREAM,10920,4,2
31153,TDS LANDFILL,2017-01-02 11:34:00,GARBAGE COLLECTIONS,23900,1,1
280620,TDS LANDFILL,2017-01-02 11:35:00,GARBAGE COLLECTIONS,21440,1,1
152925,HORNSBY BEND,2017-01-02 11:41:00,YARD TRIMMING,17280,3,3
143955,TDS LANDFILL,2017-01-02 11:43:00,GARBAGE COLLECTIONS,8080,1,1
452230,TDS - MRF,2017-01-02 11:45:00,RECYCLING - SINGLE STREAM,5020,4,2
197653,TDS LANDFILL,2017-01-02 11:48:00,GARBAGE COLLECTIONS,4160,1,1
18903,TDS - MRF,2017-01-02 11:57:00,RECYCLING - SINGLE STREAM,5020,4,2
201040,HORNSBY BEND,2017-01-02 12:00:00,YARD TRIMMING,8800,3,3
336202,TDS - MRF,2017-01-02 12:01:00,RECYCLING - SINGLE STREAM,11600,4,2
466925,TDS LANDFILL,2017-01-02 12:06:00,GARBAGE COLLECTIONS,18940,1,1
61889,TDS - MRF,2017-01-02 12:08:00,RECYCLING - SINGLE STREAM,12440,4,2
362872,TDS - MRF,2017-01-02 12:16:00,RECYCLING - SINGLE STREAM,5620,4,2
127248,TDS - MRF,2017-01-02 12:19:00,RECYCLING - SINGLE STREAM,5380,4,2
492572,TDS LANDFILL,2017-01-02 12:20:00,GARBAGE COLLECTIONS,25920,1,1
136927,HORNSBY BEND,2017-01-02 12:22:00,YARD TRIMMING,15040,3,3
418539,HORNSBY BEND,2017-01-02 12:24:00,YARD TRIMMING,16960,3,3
393882,HORNSBY BEND,2017-01-02 12:29:00,YARD TRIMMING,16460,3,3
44652,TDS LANDFILL,2017-01-02 12:30:00,GARBAGE COLLECTIONS,22320,1,1
92673,HORNSBY BEND,2017-01-02 12:30:00,YARD TRIMMING,17200,3,3
230229,TDS LANDFILL,2017-01-02 12:35:00,GARBAGE COLLECTIONS,10320,1,1
40706,TDS LANDFILL,2017-01-02 12:35:00,GARBAGE COLLECTIONS,24560,1,1
349848,HORNSBY BEND,2017-01-02 12:36:00,YARD TRIMMING,4840,3,3
409284,TDS LANDFILL,2017-01-02 12:37:00,GARBAGE COLLECTIONS,19140,1,1
12406,TDS LANDFILL,2017-01-02 12:38:00,GARBAGE COLLECTIONS,22040,1,1
397146,TDS LANDFILL,2017-01-02 12:38:00,GARBAGE COLLECTIONS,25140,1,1
365083,TDS LANDFILL,2017-01-02 12:40:00,GARBAGE COLLECTIONS,26140,1,1
552593,TDS LANDFILL,2017-01-02 12:42:00,GARBAGE COLLECTIONS,23860,1,1
454888,TDS LANDFILL,2017-01-02 12:44:00,GARBAGE COLLECTIONS,23420,1,1
111025,TDS LANDFILL,2017-01-02 12:45:00,GARBAGE COLLECTIONS,25440,1,1
79291,TDS LANDFILL,2017-01-02 12:45:00,GARBAGE COLLECTIONS,26640,1,1
373455,TDS LANDFILL,2017-01-02 12:47:00,GARBAGE COLLECTIONS,26260,1,1
100915,TDS LANDFILL,2017-01-02 12:47:00,GARBAGE COLLECTIONS,22560,1,1
35389,TDS LANDFILL,2017-01-02 12:49:00,GARBAGE COLLECTIONS,26760,1,1
74959,HORNSBY BEND,2017-01-02 12:49:00,YARD TRIMMING,16020,3,3
157657,TDS - MRF,2017-01-02 12:49:00,RECYCLING - SINGLE STREAM,14320,4,2
169877,HORNSBY BEND,2017-01-02 12:51:00,YARD TRIMMING,15580,3,3
